,id,tags,light,point,region,scheme,address,weather,category,datetime,severity,dead_count,injured_count,parent_region,participants_count,participant_categories,geometry,participant_role,participant_gender,participant_health_status,vehicle_year,vehicle_brand,vehicle_color,vehicle_model,vehicle_category,status_role,status_gender,status_health_status,status_years_of_driving_experience,status_violations_cluster_categories,participant_violations_cluster_categories,nearby_cluster_categories,road_conditions_cluster_categories
10,2540528,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.511841, 'long': 44.585953}",Малгобекский район,300.0,"г Малгобек, ул Осканова, 12",['Ясно'],Столкновение,2021-01-27 10:10:00,Тяжёлый,0,1,Республика Ингушетия,4,['Все участники'],POINT (44.585953 43.511841),,,,2007.0,CHEVROLET,Серый,Lanos,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,9.0,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Regulated Intersection Pedestrian Crossing Accidents,"""Dry Road Conditions"""
11,2540531,['Дорожно-транспортные происшествия'],"В темное время суток, освещение не включено","{'lat': 43.49546, 'long': 44.581382}",Малгобекский район,720.0,"г Малгобек, ул Осканова, 114",['Ясно'],Наезд на пешехода,2021-01-24 17:50:00,Легкий,0,1,Республика Ингушетия,2,"['Все участники', 'Пешеходы']",POINT (44.581382 43.49546),Пешеход,Женский,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",2011.0,FORD,Серый,Mondeo,"D-класс (средний) до 4,6 м",Водитель,Мужской,Не пострадал,3.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,Poor Road Conditions
12,2540532,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.509958, 'long': 44.582273}",Малгобекский район,500.0,"г Малгобек, пер Базоркина, 58",['Ясно'],Столкновение,2021-01-22 14:55:00,Легкий,0,2,Республика Ингушетия,3,['Все участники'],POINT (44.582273 43.509958),,,,2004.0,ВАЗ,Синий," Жигули  ВАЗ-2108, 09 и модификации                       ","А-класс (особо малый) до 3,5 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",10.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Poor Visibility and Bad Road Condition"""
13,2540536,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.518711, 'long': 44.585277}",Малгобекский район,940.0,"г Малгобек, ул Осканова, 1",['Пасмурно'],Наезд на препятствие,2021-01-08 23:10:00,Легкий,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.585277 43.518711),,,,2014.0,KIA,Серый,Rio,"D-класс (средний) до 4,6 м",Пассажир,Мужской,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,Absence of Lighting on Dry Roads
14,2548813,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.512487, 'long': 44.595416}",Малгобекский район,,"г Малгобек, ул Промышленная, 2",['Пасмурно'],Съезд с дороги,2021-02-17 01:15:00,Тяжёлый,0,1,Республика Ингушетия,1,['Все участники'],POINT (44.595416 43.512487),,,,2010.0,ВАЗ,Белый,Priora,"В-класс (малый) до 3,9 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",20.0,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Absence in Necessary Features of Road"""
15,2548808,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Сумерки,"{'lat': 43.522912, 'long': 44.53042}",Малгобекский район,140.0,"Назрань-Малгобек-Н. Курп-Терек, 64 км",['Пасмурно'],Столкновение,2021-02-14 17:00:00,Тяжёлый,0,2,Республика Ингушетия,4,"['Все участники', 'Дети']",POINT (44.53042 43.522912),,,,1996.0,ВАЗ,Серый, Жигули  ВАЗ-2106 модификации,"В-класс (малый) до 3,9 м",Пассажир,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Dry Road Conditions"""
16,2643239,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.543291, 'long': 44.74225}",Малгобекский район,610.0,"ст-ца Вознесенская, ул Шоссейная, 15",['Ясно'],Съезд с дороги,2021-10-23 16:25:00,С погибшими,1,1,Республика Ингушетия,2,['Все участники'],POINT (44.74225 43.543291),,,,2008.0,ВАЗ,Серый,Priora,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Женский,Скончался в течение 4 суток,,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,"""Absence in Necessary Features of Road"""
17,2718967,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Светлое время суток,"{'lat': 43.506931, 'long': 44.584483}",Малгобекский район,740.0,"г Малгобек, ул Осканова, 19",['Пасмурно'],Наезд на пешехода,2022-01-13 13:10:00,Тяжёлый,0,2,Республика Ингушетия,4,"['Все участники', 'Пешеходы', 'Дети']",POINT (44.584483 43.506931),Пешеход,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",2013.0,ВАЗ,Белый,Priora,"В-класс (малый) до 3,9 м",Водитель,Мужской,Не пострадал,33.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Absence in Necessary Features of Road"""
18,2760178,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.508472, 'long': 44.59224}",Малгобекский район,500.0,"г Малгобек, ул Херсонская, 11",['Пасмурно'],Столкновение,2022-09-19 15:20:00,Легкий,0,2,Республика Ингушетия,4,['Все участники'],POINT (44.59224 43.508472),,,,2015.0,ВАЗ,Серый,Priora,"В-класс (малый) до 3,9 м",Водитель,Мужской,Не пострадал,10.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Dry Road Conditions"""
19,2760184,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.526553, 'long': 44.785466}",Малгобекский район,600.0,,['Ясно'],Опрокидывание,2022-09-12 13:00:00,Тяжёлый,0,1,Республика Ингушетия,1,['Все участники'],POINT (44.785466 43.526553),,,,1991.0,ГАЗ,Синий,"33023, 330232, 330273 и модификации",Цистерны,Водитель,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",38.0,"""Non-compliance with Speed under Specific Traffic Conditions""","""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Dry Road Conditions"""
20,2760186,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.579956, 'long': 44.58385}",Малгобекский район,900.0,"с Вежарий, Малгобек-с. Вежарий-юрт, 5 км",['Ясно'],Наезд на животное,2022-09-10 20:00:00,Легкий,0,1,Республика Ингушетия,3,['Все участники'],POINT (44.58385 43.579956),,,,2011.0,ВАЗ,Серый,Kalina,"В-класс (малый) до 3,9 м",Пассажир,Женский,Не пострадал,,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Dry Road Conditions"""
21,2784492,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.491818, 'long': 44.598527}",Малгобекский район,820.0,"с Сагопши, ул Исламская, 11",['Ясно'],Наезд на пешехода,2022-11-24 17:50:00,Тяжёлый,0,1,Республика Ингушетия,2,"['Все участники', 'Пешеходы']",POINT (44.598527 43.491818),Пешеход,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",2015.0,ГАЗ,Белый,"ГАЗ 3102, 3102-101, 3102-311",Фургоны,Водитель,Мужской,Не пострадал,,"""Accident Due to Control by Person Without Driving Rights""",Pedestrian Unexpectedly Emerging From Behind Parked Vehicle Violation,Unregulated Intersection Street Accidents,"""Dry Road Conditions"""
22,2784494,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.479768, 'long': 44.731607}",Малгобекский район,900.0,"Назрань-Малгобек-Н. Курп-Терек, 42 км",['Ясно'],Наезд на животное,2022-11-22 17:20:00,Тяжёлый,0,2,Республика Ингушетия,4,['Все участники'],POINT (44.731607 43.479768),,,,1994.0,MERCEDES,Красный,E-класс,"С-класс (малый средний, компактный) до 4,3 м",Пассажир,Женский,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Dry Road Conditions"""
23,2784497,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.47976, 'long': 44.808007}",Малгобекский район,800.0,"Зязиков-Юрт-Гарагорск, 3 км",['Ясно'],Наезд на пешехода,2022-11-17 12:10:00,Тяжёлый,0,1,Республика Ингушетия,2,"['Все участники', 'Пешеходы']",POINT (44.808007 43.47976),Пешеход,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",2008.0,TOYOTA,Черный,Corolla,"В-класс (малый) до 3,9 м",Водитель,Мужской,Не пострадал,16.0,Unknown Violations in Car Accidents,Pedestrian Unexpectedly Emerging From Behind Parked Vehicle Violation,Unregulated Intersection Street Accidents,"""Dry Road Conditions"""
24,2784500,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.478413, 'long': 44.609513}",Малгобекский район,610.0,"с Сагопши, ул Грозненская, 17",['Ясно'],Съезд с дороги,2022-11-16 08:05:00,Тяжёлый,0,1,Республика Ингушетия,1,['Все участники'],POINT (44.609513 43.478413),,,,2004.0,ВАЗ,Серый,ВАЗ 2115 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Wet Roads Accidents"""
25,2784503,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.488167, 'long': 44.622163}",Малгобекский район,70.0,"Назрань-Малгобек-Н. Курп-Терек, 55 км",['Ясно'],Столкновение,2022-11-12 21:30:00,Тяжёлый,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.622163 43.488167),,,,2009.0,ЗАЗ,Красный,ЗАЗ Sens,"В-класс (малый) до 3,9 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",39.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Dry Road Conditions"""
26,2784504,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.506674, 'long': 44.584483}",Малгобекский район,740.0,"г Малгобек, ул Осканова, 2",['Ясно'],Наезд на пешехода,2022-11-07 12:45:00,Тяжёлый,0,1,Республика Ингушетия,2,"['Все участники', 'Пешеходы']",POINT (44.584483 43.506674),Пешеход,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",2012.0,ГАЗ,Синий,"2705  Газель , 27057 и модификации",Фургоны,Водитель,Мужской,Не пострадал,1.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Absence in Necessary Features of Road"""
27,2784505,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.478538, 'long': 44.626744}",Малгобекский район,610.0,"Малгобек-Сагопши, 5 км",['Пасмурно'],Съезд с дороги,2022-11-06 18:30:00,С погибшими,1,0,Республика Ингушетия,1,['Все участники'],POINT (44.626744 43.478538),,,,2006.0,ГАЗ,Серый,"ГАЗ 3105, 31052","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Скончался в течение 1 суток,22.0,"""Non-compliance with Speed under Specific Traffic Conditions""","""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Dry Road Conditions"""
28,2784506,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.47969, 'long': 44.788674}",Малгобекский район,120.0,"Зязиков-Юрт-Гарагорск, 1 км",['Дождь'],Столкновение,2022-11-03 19:40:00,Тяжёлый,0,4,Республика Ингушетия,6,['Все участники'],POINT (44.788674 43.47969),,,,2014.0,TOYOTA,Черный,Camry,Прочие легковые автомобили,Пассажир,Женский,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Wet Roads Accidents"""
29,2784507,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.50462, 'long': 44.583914}",Малгобекский район,70.0,"г Малгобек, Малгобек-Сагопши, 1 км",['Пасмурно'],Столкновение,2022-11-01 09:20:00,Легкий,0,2,Республика Ингушетия,2,['Все участники'],POINT (44.583914 43.50462),,,,2008.0,ВАЗ,Зеленый,ВАЗ 2115 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Wet Roads Accidents"""
30,2667915,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Светлое время суток,"{'lat': 43.502963, 'long': 44.583453}",Малгобекский район,500.0,"г Малгобек, ул Физкультурная, 1",['Пасмурно'],Столкновение,2021-12-14 11:15:00,Тяжёлый,0,5,Республика Ингушетия,6,"['Все участники', 'Дети']",POINT (44.583453 43.502963),,,,2008.0,ГАЗ,Белый,"3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Фургоны,Водитель,Мужской,Не пострадал,40.0,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Regulated Intersection Pedestrian Crossing Accidents,"""Wet Roads Accidents"""
31,2667916,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']","В темное время суток, освещение включено","{'lat': 43.398765, 'long': 44.753537}",Малгобекский район,740.0,"с Нижние Ачалуки, ул Шоссейная, 47",['Пасмурно'],Наезд на пешехода,2021-12-04 16:20:00,Тяжёлый,0,1,Республика Ингушетия,2,"['Все участники', 'Пешеходы', 'Дети']",POINT (44.753537 43.398765),Пешеход,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",2004.0,ГАЗ,Серый,"ГАЗ 3105, 31052","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,20.0,"""Excessive Speed and Unsafe Lane Departure""","""Lack of Reflective Elements Violation""",Residential Area Unregulated Individual Houses,"Faulty Lighting, Dry Road Conditions"
32,2667922,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.497429, 'long': 44.601692}",Малгобекский район,70.0,"г Малгобек, ул Физкультурная, 1",['Пасмурно'],Столкновение,2021-12-29 18:15:00,Тяжёлый,0,2,Республика Ингушетия,4,['Все участники'],POINT (44.601692 43.497429),,,,2003.0,ВАЗ,Серый,ВАЗ 2115 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,Не пострадал,33.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Regulated Intersection Pedestrian Crossing Accidents,"Faulty Lighting, Dry Road Conditions"
33,2667924,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.371443, 'long': 44.736103}",Малгобекский район,140.0,"с Средние Ачалуки, ул Цечоева, 27",['Пасмурно'],Столкновение,2021-12-24 18:40:00,Тяжёлый,0,2,Республика Ингушетия,2,['Все участники'],POINT (44.736103 43.371443),,,,2007.0,ВАЗ,Серый,ВАЗ 2115 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",9.0,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Dry Road Conditions"""
34,2667928,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.511849, 'long': 44.585931}",Малгобекский район,300.0,"г Малгобек, ул Осканова, 8",['Пасмурно'],Столкновение,2021-12-21 19:10:00,Тяжёлый,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.585931 43.511849),,,,2012.0,CHEVROLET,Черный,Cruze,"В-класс (малый) до 3,9 м",Водитель,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Regulated Intersection Pedestrian Crossing Accidents,"""Wet Roads Accidents"""
35,2667931,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.330212, 'long': 44.688671}",Малгобекский район,610.0,"Назрань-Малгобек-Н. Курп-Терек, 22 км",['Ясно'],Съезд с дороги,2021-12-15 12:30:00,Тяжёлый,0,1,Республика Ингушетия,1,['Все участники'],POINT (44.688671 43.330212),,,,2011.0,ВАЗ,Серый,ВАЗ 2115 и модификации,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",39.0,"""Non-compliance with Speed under Specific Traffic Conditions""","""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,"""Dry Road Conditions"""
36,2667934,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.5082, 'long': 44.584816}",Малгобекский район,300.0,"г Малгобек, ул Осканова, 12",['Ясно'],Столкновение,2021-12-06 11:40:00,Тяжёлый,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.584816 43.5082),,,,2011.0,PEUGEOT,Серый,Прочие модели Peugeot,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,33.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Regulated Intersection Pedestrian Crossing Accidents,"""Dry Road Conditions"""
37,2667937,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.50297, 'long': 44.583389}",Малгобекский район,500.0,"г Малгобек, ул Осканова, 1",['Пасмурно'],Столкновение,2021-12-06 17:30:00,Тяжёлый,0,1,Республика Ингушетия,3,['Все участники'],POINT (44.583389 43.50297),,,,2011.0,ГАЗ,Белый,27527 и модификации,Фургоны,Пассажир,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Regulated Intersection Pedestrian Crossing Accidents,"""Dry Road Conditions"""
38,2667940,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.502963, 'long': 44.583421}",Малгобекский район,300.0,"г Малгобек, ул Осканова, 1",['Ясно'],Столкновение,2021-12-03 13:25:00,Легкий,0,4,Республика Ингушетия,4,['Все участники'],POINT (44.583421 43.502963),,,,2012.0,ВАЗ,Серый,Granta (Гранта),"С-класс (малый средний, компактный) до 4,3 м",Пассажир,Женский,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Regulated Intersection Pedestrian Crossing Accidents,"""Dry Road Conditions"""
39,2882346,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.5006, 'long': 44.591}",Малгобекский район,140.0,"г Малгобек, ул Физкультурная, 11",['Ясно'],Столкновение,2023-08-28 23:40:00,Тяжёлый,0,4,Республика Ингушетия,4,['Все участники'],POINT (44.591 43.5006),,,,1992.0,MERCEDES,Серый,S-класс,Прочие легковые автомобили,Пассажир,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,"""Dry Road Conditions"""
